2024-03-11 19:02:52.364 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/n11_restaurants/conf
2024-03-11 19:02:52.381 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.s.DirectSolrSpellChecker init: {maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2024-03-11 19:02:52.393 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-03-11 19:02:52.396 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants) [c: s: r: x:n11_restaurants t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:02:52.396 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants) [c: s: r: x:n11_restaurants t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-11 19:02:52.408 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants) [c: s: r: x:n11_restaurants t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:03:34.312 INFO  (qtp738677855-19-null-2) [c: s: r: x: t:null-2] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183814261} status=0 QTime=8
2024-03-11 19:03:35.011 INFO  (qtp738677855-20-null-3) [c: s: r: x: t:null-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183814261} status=0 QTime=15
2024-03-11 19:03:36.013 INFO  (qtp738677855-21-null-4) [c: s: r: x:n11_restaurants t:null-4] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1710183814294} status=0 QTime=6
2024-03-11 19:03:37.035 INFO  (qtp738677855-18-null-5) [c: s: r: x:n11_restaurants t:null-5] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1710183814295} status=0 QTime=10
2024-03-11 19:03:38.062 INFO  (qtp738677855-24-null-6) [c: s: r: x:n11_restaurants t:null-6] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1710183814294} status=0 QTime=14
2024-03-11 19:03:39.073 INFO  (qtp738677855-26-null-7) [c: s: r: x:n11_restaurants t:null-7] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1710183814261&ts=1710183814261} status=503 QTime=2
2024-03-11 19:08:12.299 INFO  (qtp738677855-27-null-8) [c: s: r: x:n11_restaurants t:null-8] o.a.s.s.ManagedIndexSchema Upgraded to managed schema at /var/solr/data/n11_restaurants/conf/managed-schema.xml
